"","chapter","title","release","pages"
"1",1,"Romance Dawn - The Dawn of the Adventure",1997-07-19,53
"2",2,"That Guy, ""Straw Hat Luffy""",1997-07-28,23
"3",3,"Introducing ""Pirate Hunter Zoro""",1997-08-04,21
"4",4,"Marine Captain ""Axe-Hand Morgan""",1997-08-11,19
"5",5,"Pirate King and Master Swordsman",1997-08-25,19
"6",6,"The First Crew Member",1997-09-01,23
"7",7,"Friends",1997-09-08,20
"8",8,"Introducing Nami",1997-09-13,19
"9",9,"The Devil Girl",1997-09-22,21
"10",10,"The Incident at the Bar",1997-09-29,23
"11",11,"Take Flight",1997-10-06,19
"12",12,"Dog",1997-10-13,21
"13",13,"Treasure",1997-10-20,19
"14",14,"Reckless!!",1997-10-27,19
"15",15,"Gong",1997-11-01,19
"16",16,"Versus!! The Buggy Pirate Crew",1997-11-10,17
"17",17,"Character",1997-11-17,20
"18",18,"Pirate ""Buggy the Clown""",1997-11-22,19
"19",19,"Devil Fruit",1997-12-01,19
"20",20,"A Thief's Philosophy",1997-12-08,19
"21",21,"Town",1997-12-22,19
"22",22,"You're the Rare Breed",1998-01-05,29
"23",23,"Captain Usopp Appears",1998-01-12,19
"24",24,"Things That Can't Be Faked",1998-01-19,19
"25",25,"800 Lies",1998-01-26,19
"26",26,"Captain Kuro's Plan",1998-02-02,19
"27",27,"Plan",1998-02-09,21
"28",28,"Crescent Moon",1998-02-16,19
"29",29,"Hill Road",1998-02-23,21
"30",30,"Great!!!",1998-03-02,19
"31",31,"Truth",1998-03-09,19
"32",32,"Disaster",1998-03-16,19
"33",33,"The Silent Man",1998-03-23,19
"34",34,"Klahadore the Butler",1998-03-30,19
"35",35,"Neo Hill Road",1998-04-06,19
"36",36,"Follow Them!!",1998-04-13,21
"37",37,"The Pirate, ""Kuro of a Hundred Plans""",1998-04-20,19
"38",38,"Pirate Crew",1998-04-27,20
"39",39,"For Whom the Bell Tolls",1998-05-11,19
"40",40,"The Usopp Pirates",1998-05-18,19
"41",41,"To the Sea",1998-05-25,18
