Date,Open,High,Low,Close,Adj Close
02/01/2008,22.58,24.05,22.40,23.17,23.17
03/01/2008,23.11,23.27,22.11,22.49,22.49
04/01/2008,23.50,24.30,23.25,23.94,23.94
07/01/2008,24.62,24.88,23.30,23.79,23.79
08/01/2008,23.27,25.60,22.63,25.43,25.43
09/01/2008,25.61,25.95,23.90,24.12,24.12
10/01/2008,24.56,24.61,22.62,23.45,23.45
11/01/2008,24.04,24.41,23.22,23.68,23.68
14/01/2008,23.76,23.93,22.65,22.90,22.90
15/01/2008,24.10,24.59,22.97,23.34,23.34
16/01/2008,23.90,24.38,22.85,24.38,24.38
17/01/2008,24.11,28.51,23.87,28.46,28.46
18/01/2008,27.55,29.30,26.27,27.18,27.18
22/01/2008,35.12,37.57,29.71,31.01,31.01
23/01/2008,33.84,34.42,28.47,29.02,29.02
24/01/2008,28.07,28.48,27.03,27.78,27.78
25/01/2008,26.19,29.76,25.93,29.08,29.08
28/01/2008,29.67,30.26,27.57,27.78,27.78
29/01/2008,26.61,27.96,26.55,27.32,27.32
30/01/2008,27.53,28.34,24.74,27.62,27.62
31/01/2008,28.78,28.81,25.45,26.20,26.20
01/02/2008,25.66,25.75,24.02,24.02,24.02
04/02/2008,25.09,26.03,24.85,25.99,25.99
05/02/2008,27.20,28.49,27.20,28.24,28.24
06/02/2008,27.75,29.31,27.04,28.97,28.97
07/02/2008,29.51,29.70,26.78,27.66,27.66
08/02/2008,27.98,28.89,27.22,28.01,28.01
11/02/2008,29.14,29.57,27.32,27.60,27.60
12/02/2008,26.56,27.17,25.25,26.33,26.33
13/02/2008,25.67,26.06,24.57,24.88,24.88
14/02/2008,24.64,25.64,23.98,25.54,25.54
15/02/2008,25.58,25.67,24.45,25.02,25.02
19/02/2008,25.39,26.59,24.73,25.59,25.59
20/02/2008,25.60,26.95,24.21,24.40,24.40
21/02/2008,24.42,25.45,23.74,25.12,25.12
22/02/2008,24.99,25.93,23.62,24.06,24.06
25/02/2008,24.06,25.07,22.69,23.03,23.03
26/02/2008,23.44,23.45,21.64,21.90,21.90
27/02/2008,21.90,23.01,21.83,22.69,22.69
28/02/2008,22.69,23.79,22.69,23.53,23.53
29/02/2008,23.54,26.91,23.54,26.54,26.54
03/03/2008,27.54,28.13,26.27,26.28,26.28
04/03/2008,27.19,27.42,25.51,25.52,25.52
05/03/2008,25.52,25.77,23.30,24.60,24.60
06/03/2008,25.45,27.90,25.04,27.55,27.55
07/03/2008,28.52,29.29,22.29,27.49,27.49
10/03/2008,28.13,29.73,27.92,29.38,29.38
11/03/2008,27.25,28.64,26.35,26.36,26.36
12/03/2008,26.39,27.25,24.90,27.22,27.22
