chapter_number,volume,name,romanized_title,viz_title,pages,date,episodes,,,,
1,1,Romance Dawn - The Dawn of the Adventure,Romansu Don - Boken no Yoake,Romance Dawn,53,19/07/1997,"We Are! (p. 1, 49-51), Episode 4 (p. 6-47), Episode 504 (p. 48-53), Episode of Luffy (p. 4-47), Episode of East Blue (p. 4-53), Episode 878 (p. 4-21, 27-53)",,,,
2,1,"That Guy, ""Straw Hat Luffy""","Sono Otoko ""Mugiwara no Rufi""","They Call Him ""Straw Hat Luffy""",23,28/07/1997,"Episode 1 (p. 4-23), Episode of Luffy (p. 4, 8, 9-10, 13-22)",,,,
3,1,Introducing Pirate Hunter Zoro,"""Kaizoku-gari no Zoro"" Tojo",Enter Zolo: Pirate Hunter,21,04/08/1997,"Episode 2 (p. 1, 3-21)",,,,
4,1,"Marine Captain ""Axe-Hand Morgan""","Kaigun Taisa ""Onote no Mogan""",The Great Captain Morgan,19,11/08/1997,Episode 2 (p. 1-19),,,,
5,1,Pirate King and Master Swordsman,Kaizoku-O to Daikengo,The King of the Pirates and the Master Swordsman,19,25/08/1997,"Episode 2 (p. 2-8, 16-19), Episode 19 (p. 9-15), Episode 3 (p. 19)",,,,
6,1,The First,Hitorime,Number One,23,01/09/1997,Episode 3 (p. 1-23),,,,
7,1,Friends,Tomodachi,Friends,20,08/09/1997,Episode 3 (p. 2-20),,,,
8,1,Introducing Nami,Nami Tojo,Nami,19,15/09/1997,"Episode 4 (p. 2-16), Episode 5 (p. 17-19)",,,,
9,2,The Devil Girl,Masho no Onna,Femme Fatale,21,22/09/1997,Episode 5 (p. 2-21),,,,
10,2,The Incident at the Bar,Sakaba no Ikken,Incident at the Tavern,23,29/09/1997,Episode 5 (p. 2-23),,,,
11,2,Take Flight,Haiso,Flight,19,06/10/1997,"Episode 5 (p. 2-14), Episode 6 (p. 15-19)",,,,
12,2,Dog,Inu,Dog,NA,13/10/1997,Episode 6 (p. 3-21),,,,
13,2,Treasure,Takaramono,Treasure,19,20/10/1997,Episode 6 (p. 2-19),,,,
14,2,Reckless!!,Mubo!!,Reckless,19,27/10/1997,Episode 6 (p. 2-19),,,,
15,2,Gong,Gongu,Gong,19,03/11/1997,"Episode 6 (p. 2-10), Episode 7 (p. 11-19)",,,,
16,2,Versus The Buggy Pirate Crew,Basasu!! Bagi Kaizokudan,Versus Buggy's Crew,17,10/11/1997,Episode 7 (p. 2-17),,,,
17,2,Character,Kaku,"High Level, Low Level",20,17/11/1997,Episode 7 (p. 2-20),,,,
18,3,"Pirate ""Buggy the Clown""","Kaizoku ""Doke no Bagi""",The Pirate Buggy the Clown,19,24/11/1997,Episode 7 (p. 2-19),,,,
19,3,Devil Fruit,Akuma no Mi,Devil Fruit,19,01/12/1997,Episode 8 (p. 2-19),,,,
20,3,A Thief's Philosophy,Dorobodo,The Way of the Thief,19,08/12/1997,Episode 8 (p. 2-19),,,,
21,3,Town,Machi,Townies,19,22/12/1997,Episode 8 (p. 2-19),,,,
22,3,You're the Rare Breed,Anta ga Chinju,Strange Creatures,29,05/01/1998,Episode 18 (p. 2-29),,,,
23,3,Captain Usopp Appears,Kyaputen Usoppu Tojo,The Dread Captain Usopp,19,12/01/1998,Episode 9 (p. 2-19),,,,
24,3,Things That Can't Be Faked,Itsuwarenu Mono,The Lie Rejecter,19,19/01/1998,"Episode 9 (p. 2-14), Episode 10 (p. 15-19)",,,,
25,3,800 Lies,Uso 800,Lies,19,26/01/1998,Episode 10 (p. 2-19),,,,
26,3,Captain Kuro's Plan,Kyaputen Kuro no Ikkei,Captain Kuro's Plan,19,02/02/1998,"Episode 10 (p. 2-14), Episode 11 (p. 15-19)",,,,
27,4,Plan,Suji,True Lies,21,09/02/1998,Episode 11 (p. 2-21),,,,
28,4,Crescent Moon,Mikazuki,Crescent Moon,19,16/02/1998,"Episode 12 (p. 1, 4-19)",,,,
29,4,Hill Road,Sakamichi,Uphill Battle,21,23/02/1998,Episode 12 (p. 2-21),,,,
30,4,Great!!!,Gureito!!!,Backfire,19,02/03/1998,"Episode 12 (p. 3), Episode 13 (p. 4-19)",,,,
31,4,Truth,Shinjitsu,Truth,19,09/03/1998,Episode 13 (p. 2-19),,,,
32,4,Disaster,Daikyo,Cruel Fortune,19,16/03/1998,Episode 13 (p. 2-19),,,,
33,4,The Silent Man,Otonaki Otoko,The Creeping Cat,19,23/03/1998,Episode 14 (p. 2-19),,,,
34,4,Klahadore the Butler,Shitsuji Kurahadoru,A Humble Servant,19,30/03/1998,Episode 14 (p. 2-19),,,,
35,4,Neo Hill Road,Neo Sakamichi,The Steep Slope,19,06/04/1998,"Episode 46 (p. 1), Episode 15 (p. 2-19)",,,,
36,5,Follow Them!!,Oe!!,After Them!!,21,13/04/1998,"Episode 47 (p. 1), Episode 15 (p. 2-21)",,,,
37,5,"The Pirate ""Kuro of a Hundred Plans""","Kaizoku ""Hyakkei no Kuro""","""Captain Kuro, Of The Thousand Plans""",19,20/04/1998,"Episode 46 (p. 1), Episode 15 (p. 2-19)",,,,
38,5,Pirate Crew,Kaizokudan,Pirate Crew,20,27/04/1998,Episode 16 (p. 2-20),,,,
39,5,For Whom the Bell Tolls,Taga Tame ni Kane wa Naru,For Whom the Bell Tolls,19,11/05/1998,"Episode 46 (p. 1), Episode 16 (p. 2-12), Episode 17 (p. 13-19)",,,,
40,5,The Usopp Pirates,Usoppu Kaizokudan,Usopp's Pirate Crew,19,18/05/1998,"Episode 46 (p. 1), Episode 17 (p. 2-19)",,,,
41,5,To the Sea,Umi-e,To the Sea,18,25/05/1998,Episode 17 (p. 2-18),,,,
42,5,Yosaku and Johnny,Yosaku to Joni,Yosaku and Johnny,19,01/06/1998,"Episode 46 (p. 1), Episode 18 (p. 2-3), Episode 19 (p. 4-12), Episode 20 (p. 13-19)",,,,
43,5,Introducing Sanji,Sanji Tojo,Sanji,19,08/06/1998,"Episode 46 (p. 1), Episode 20 (p. 2-19)",,,,
44,5,Three Cooks,Sannin no Kokku,Three Tough Cooks,20,15/06/1998,Episode 21 (p. 2-20),,,,
45,6,Before the Storm,Arashi Mae,Before the Storm,18,22/06/1998,Episode 21 (p. 2-18),,,,
46,6,An Uninvited Guest,Manekarezaru Kyaku,An Uninvited Guest,19,29/06/1998,"Episode 46 (p. 1), Episode 22 (p. 2-19)",,,,
47,6,"Pirate Fleet Admiral ""Don Krieg""","Kaizoku Kantai Teitoku ""Don Kuriku""",The Don's Offer,19,06/07/1998,"Episode 46 (p. 1), Episode 22 (p. 2-19)",,,,
48,6,Leave That Path Alone,"Sono Koro, Yametoki na",Steer Clear,19,13/07/1998,"Episode 46 (p. 1), Episode 23 (p. 2-19)",,,,
49,6,The Storm,Arashi,Storm,18,18/07/1998,Episode 23 (p. 2-18),,,,
50,6,To Each His Own Way,Onoono ga Michi,A Parting of Ways,19,27/07/1998,"Episode 46 (p. 1), Episode 24 (p. 2-18), Episode 29 (p. 19)",,,,
51,6,Roronoa Zoro Falls Into the Sea,Roronoa Zoro Umi ni Chiru,Zolo Overboard,19,03/08/1998,"Episode 46 (p. 1), Episode 24 (p. 2-19)",,,,
52,6,The Oath,Chikai,The Oath,20,10/08/1998,"Episode 24 (p. 1, 4-20)",,,,
53,6,Sabagashira No. 1,Sabagashira Ichi-Go,Mackerel Head,19,24/08/1998,"Episode 46 (p. 1), Episode 25 (p. 2-19)",,,,
54,7,Mr. Pearl,Paru-san,Pearl,19,31/08/1998,"Episode 46 (p. 1), Episode 25 (p. 2-19)",,,,
55,7,Jungle Blood,Janguru Buraddo,Jungle Blood,19,07/09/1998,"Episode 47 (p. 1), Episode 25 (p. 2-19)",,,,
56,7,No Way,Ya na Kotta,I Refuse,20,14/09/1998,Episode 26 (p. 2-20),,,,
57,7,Because of Dreams,Yumearu ga Yue,If You Have a Dream,19,21/09/1998,"Episode 47 (p. 1), Episode 26 (p. 2-19)",,,,
58,7,Old Fart,Kuso Jiji,Crap-Geezer,19,28/09/1998,"Episode 47 (p. 1), Episode 26 (p. 2-19)",,,,
59,7,Obligation,On,Sanji's Debt,19,05/10/1998,"Episode 47 (p. 1), Episode 26 (p. 2-10), Episode 27 (p. 11-19)",,,,
60,7,Propriety,Kejime,Resolution,19,12/10/1998,"Episode 47 (p. 1), Episode 27 (p. 2-19)",,,,
61,7,Demon,Oni,The Demon,20,19/10/1998,"Episode 27 (p. 1, 4-20)",,,,
62,7,M-H-5,Emu-Eichi-Fuaibu,MH5,19,26/10/1998,"Episode 47 (p. 1), Episode 27 (p. 2-15), Episode 28 (p. 16-19)",,,,
